Date,Flow_number,Sample_name,Singlets_median,Recomb_count,Recomb_geomean,Recomb_median,recombined_construct,Cells,Replicate,Fold_consensus,Include
251001,F377,293T_LP_100125_iCasp9c12_G1102_002.fcs,1165.267456,155413,1582.6073,1555.282104,G1102,LLPc12,R3,0.1093960019,
251001,F377,293T_LP_100125_iCasp9c12_G1106_003.fcs,606.483398,86156,996.817505,765.225281,G1106,LLPc12,R3,0.05382469588,
251001,F377,293T_LP_100125_iCasp9c12_Unrecombined_007.fcs,115.744415,10,3316.075439,1239.247559,None,LLPc12,R3,0.008141273024,
251001,F377,293T_LP_100125_iCasp9c12_1B_004.fcs,5749.705566,54463,8573.160156,9817.260742,1B,LLPc12,R3,0.6905300791,
251001,F377,293T_LP_100125_iCasp9c12_1M_005.fcs,219.861328,59820,405.002777,274.089905,1M,LLPc12,R3,0.01927903605,
251001,F377,293T_LP_100125_iCasp9c12_2HL_006.fcs,1304.752563,85647,2319.448486,1275.275391,2HL,LLPc12,R3,0.0897007872,
251001,F377,293T_LP_100125_NS_G542AC3_G790_008.fcs,26133.78516,35022,26101.23828,26956.22266,G790,SLP_10pct,R2,1,
251001,F377,293T_LP_100125_NS_G542AC3_G1102_009.fcs,5849.25,52155,5734.016113,5887.071289,G1102,SLP_10pct,R2,0.2183937773,
251001,F377,293T_LP_100125_NS_G542AC3_G1106_010.fcs,2466.063965,24843,2595.290527,2598.533691,G1106,SLP_10pct,R2,0.0963982871,
251001,F377,293T_LP_100125_NS_G542AC3_1B_011.fcs,20763.61523,25672,20696.99414,21923.25586,1B,SLP_10pct,R2,0.8132910956,
251001,F377,293T_LP_100125_NS_G542AC3_1M_012.fcs,578.920532,48802,618.059753,588.059937,1M,SLP_10pct,R2,0.02181536873,
251001,F377,293T_LP_100125_NS_G542AC3_2HL_013.fcs,1073.644165,18041,1159.798462,1129.66333,2HL,SLP_10pct,R2,0.04190733042,
251001,F377,293T_LP_100125_NS_G542AC3_05serum_G790_014.fcs,14382.49805,38714,14686.91504,14995.42188,G790,SLP_0.5pct,R2,1,
251001,F377,293T_LP_100125_NS_G542AC3_05serum_G1102_015.fcs,2771.3479,47525,2973.935547,3058.3125,G1102,SLP_0.5pct,R2,0.2039497471,
251001,F377,293T_LP_100125_NS_G542AC3_05serum_G1106_016.fcs,1263.166626,35776,1538.994019,1489.402954,G1106,SLP_0.5pct,R2,0.0993238447,
251001,F377,293T_LP_100125_NS_G542AC3_05serum_1B_017.fcs,8774.858398,17369,9739.046875,9951.082031,1B,SLP_0.5pct,R2,0.6636080072,
251001,F377,293T_LP_100125_NS_G542AC3_05serum_1M_018.fcs,394.967987,70801,487.685272,448.331024,1M,SLP_0.5pct,R2,0.02989786,
251001,F377,293T_LP_100125_NS_G542AC3_05serum_2HL_019.fcs,738.188843,69024,888.645691,833.245972,2HL,SLP_0.5pct,R2,0.05556669087,
251001,F377,293T_LP_100125_NS_G542AC3_02serum_G790_020.fcs,15599.7041,42018,16219.55176,16612.86133,G790,SLP_0.2pct,R2,1,
251001,F377,293T_LP_100125_NS_G542AC3_02serum_G1102_021.fcs,2738.99292,54489,2861.870605,2951.321533,G1102,SLP_0.2pct,R2,0.1776528121,
251001,F377,293T_LP_100125_NS_G542AC3_02serum_G1106_022.fcs,1206.411865,38445,1505.994629,1437.01355,G1106,SLP_0.2pct,R2,0.0865000629,
251001,F377,293T_LP_100125_NS_G542AC3_02serum_1B_023.fcs,10626.18945,2738,9494.342773,12128.55859,1B,SLP_0.2pct,R2,0.7300704165,
251001,F377,293T_LP_100125_NS_G542AC3_02serum_1M_024.fcs,417.287476,17432,497.536346,455.447174,1M,SLP_0.2pct,R2,0.02741533592,
251001,F377,293T_LP_100125_NS_G542AC3_02serum_2HL_025.fcs,796.232483,42199,922.245544,869.389587,2HL,SLP_0.2pct,R2,0.05233232071,
251006,F379,293T_LP_100625_highG_Tet-bxb-BFP-C4_G790_007.fcs,19361.35352,77415,26507.0957,27859.56445,G790,LPc4_HighG,R1,1,
251006,F379,293T_LP_100625_highG_Tet-bxb-BFP-C4_G1102_008.fcs,3027.331055,79585,4488.358887,4787.580566,G1102,LPc4_HighG,R1,0.171846928,
251006,F379,293T_LP_100625_highG_Tet-bxb-BFP-C4_G1106_009.fcs,1449.984985,57302,2344.441406,2451.170166,G1106,LPc4_HighG,R1,0.08798307563,
251006,F379,293T_LP_100625_highG_Tet-bxb-BFP-C4_1B_010.fcs,11613.36328,52272,19756.32617,20869.32813,1B,LPc4_HighG,R1,0.7490902511,
251006,F379,293T_LP_100625_highG_Tet-bxb-BFP-C4_1M_011.fcs,348.722443,51643,517.90033,514.489014,1M,LPc4_HighG,R1,0.01846723106,
251006,F379,293T_LP_100625_highG_Tet-bxb-BFP-C4_2HL_012.fcs,656.960632,68260,1002.550842,1016.118408,2HL,LPc4_HighG,R1,0.03647287487,
251006,F379,293T_LP_100625_lowG_Tet-bxb-BFP-C4_G790_001.fcs,4977.435547,29381,14696.95606,15036.72461,G790,LPc4_LowG,R1,1,
251006,F379,293T_LP_100625_lowG_Tet-bxb-BFP-C4_G1102_002.fcs,855.356995,38492,2677.15625,2716.50293,G1102,LPc4_LowG,R1,0.1806578893,
251006,F379,293T_LP_100625_lowG_Tet-bxb-BFP-C4_G1106_003.fcs,368.644592,20469,1325.736328,1301.109863,G1106,LPc4_LowG,R1,0.08652880842,
251006,F379,293T_LP_100625_lowG_Tet-bxb-BFP-C4_1B_004.fcs,3061.156494,30531,11623.67676,12141.16504,1B,LPc4_LowG,R1,0.8074341557,
251006,F379,293T_LP_100625_lowG_Tet-bxb-BFP-C4_1M_005.fcs,223.591675,29441,408.95108,399.570496,1M,LPc4_LowG,R1,0.02657297426,
251006,F379,293T_LP_100625_lowG_Tet-bxb-BFP-C4_2HL_006.fcs,319.06189,35875,749.558594,734.167725,2HL,LPc4_LowG,R1,0.04882497645,
251010,F380,293T_LP_101025_NS_G542AC3_02serum_G790_019.fcs,33106,15041.83496,15542.7207,14531.17481,G790,SLP_0.5pct,R3,1,
251010,F380,293T_LP_101025_NS_G542AC3_02serum_G1102_020.fcs,97221,3406.392334,3471.971191,3206.534668,G1102,SLP_0.5pct,R3,0.2206658932,
251010,F380,293T_LP_101025_NS_G542AC3_02serum_G1106_021.fcs,35270,1468.327881,1451.984375,1312.569336,G1106,SLP_0.5pct,R3,0.09032781954,
251010,F380,293T_LP_101025_NS_G542AC3_02serum_1B_022.fcs,38812,11774.30762,12243.52539,10899.94922,1B,SLP_0.5pct,R3,0.7501079137,
251010,F380,293T_LP_101025_NS_G542AC3_02serum_1M_023.fcs,21080,464.680511,452.703979,395.695831,1M,SLP_0.5pct,R3,0.02723082175,
251010,F380,293T_LP_101025_NS_G542AC3_02serum_2HL_024.fcs,48229,936.122498,928.977234,852.722534,2HL,SLP_0.5pct,R3,0.05868228448,
251010,F380,293T_LP_101025_NS_G542AC3_05serum_G790_013.fcs,28501,13955.46484,14266.91016,13461.36231,G790,SLP_0.2pct,R3,1,
251010,F380,293T_LP_101025_NS_G542AC3_05serum_G1102_014.fcs,59465,3448.950439,3493.277344,3255.954102,G1102,SLP_0.2pct,R3,0.2418740412,
251010,F380,293T_LP_101025_NS_G542AC3_05serum_G1106_015.fcs,67917,1566.11499,1557.817993,1425.578491,G1106,SLP_0.2pct,R3,0.1059015023,
251010,F380,293T_LP_101025_NS_G542AC3_05serum_1B_016.fcs,30012,11004.12598,11342.12793,10347.62109,1B,SLP_0.2pct,R3,0.7686904826,
251010,F380,293T_LP_101025_NS_G542AC3_05serum_1M_017.fcs,61875,513.672791,506.952942,452.703979,1M,SLP_0.2pct,R3,0.03362987851,
251010,F380,293T_LP_101025_NS_G542AC3_05serum_2HL_018.fcs,72812,901.762329,900.990906,819.478638,2HL,SLP_0.2pct,R3,0.06087635257,
