"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
421468,285393,105,135109,86973,105,106,73,0,32282,21067,94,29280,19314,84,33,64,0,17529,27398,31,0.0902507
275220,183307,110,120940,72919,110,26,66,0,4537,2780,40,3944,2388,37,94,103,0,805,2219,9,0.0924791
214118,164444,98,137227,107257,94,83,113,0,7333,6459,35,6628,6090,34,15,48,0,557,2277,6,0.0935933
148417,132112,62,97822,78744,81,49,68,0,12413,15144,37,11702,14225,35,92,109,0,-812,0,0,0.0980501
375442,218757,116,185612,118781,107,24,42,0,32467,23396,100,28874,20975,84,-6,108,0,-11,829,0,0.102507
465439,254277,122,213222,127246,119,136,61,0,40472,26948,122,36333,24608,106,120,138,0,-178,304,0,0.103621
179304,145227,93,218039,174497,95,81,57,0,6635,10698,27,5698,9708,25,-61,66,0,-545,0,0,0.103621
240888,139002,110,180890,105111,104,87,94,0,10346,8336,41,8832,7414,37,30,71,0,-251,0,0,0.106964
463442,281981,118,194056,118492,112,5,100,0,38182,35493,118,33618,31590,118,81,113,0,-180,88,0,0.106964
332683,196935,114,191171,119193,107,69,92,0,19168,13488,62,17326,12279,58,202,187,0,-118,52,0,0.110306
144258,106004,95,118432,90214,91,66,56,0,1336,2314,11,1357,2237,11,36,65,0,-71,29,0,0.111421
370701,230909,113,195911,121023,108,12,29,0,28677,24632,93,25979,21846,85,155,137,0,-82,161,0,0.112535
356622,220164,107,196862,127302,105,-55,34,0,22133,17138,64,18939,14633,51,345,216,0,-572,414,0,0.112535
401471,242459,115,158109,100779,115,14,56,0,14335,11257,47,12195,9593,44,218,141,0,736,332,0,0.113649
460223,245571,120,233022,124774,116,96,73,0,29042,20381,91,26343,18777,78,262,198,0,-1062,250,0,0.114763
462369,253037,121,232573,138072,114,94,96,0,29530,20578,89,25563,17800,76,357,193,0,-67,768,0,0.115877
386722,208575,123,219534,134565,114,85,90,0,32033,23435,107,29518,21728,96,169,159,0,482,2119,5,0.118106
151351,106036,96,116750,85699,91,29,43,0,29,319,0,163,295,0,-58,41,0,-88,27,0,0.11922
265800,204273,100,84664,63695,92,45,64,0,16866,17304,49,15368,16220,44,88,46,0,-63,27,0,0.120334
145489,101773,89,102225,74856,90,-112,19,0,1808,1709,19,1546,1543,19,5,71,0,117,209,0,0.121448
457896,266003,122,195596,125546,113,245,134,0,33430,21181,119,30958,19298,115,110,102,0,1700,5895,15,0.121448
211217,156476,99,80845,64388,91,59,44,0,9203,7367,40,8117,6791,37,65,93,0,-26,65,0,0.127019
305233,196014,113,464376,297023,113,324,142,0,2469,1413,28,2208,1401,21,96,57,0,908,2800,11,0.129248
408144,172726,136,361834,185977,137,140,78,0,15470,6906,89,14809,7242,88,183,85,0,18215,11182,59,0.130362
261429,94226,133,164342,76437,130,-8,101,0,8757,6843,45,7779,6099,41,-81,76,0,7800,9364,32,0.131476
325193,216882,101,139454,98059,99,51,88,0,23593,17533,64,21115,15771,59,43,98,0,975,4714,11,0.132591
270213,145269,114,111024,55591,111,-17,60,0,13002,7832,56,12433,7784,55,64,94,0,-321,13,0,0.132591
478649,260358,121,237957,141234,111,56,67,0,31336,17799,93,28053,16173,76,178,120,0,7973,17025,25,0.133705
202775,133378,103,173649,110901,97,164,117,0,10465,7635,43,9517,7226,41,16,59,0,67,756,0,0.134819
510492,277298,124,242530,140439,117,115,79,0,38477,22522,124,34149,19437,104,282,170,0,4380,13705,20,0.135933
450006,280107,116,161612,97356,106,19,47,0,28235,17824,79,25018,15867,71,367,214,0,1144,4833,13,0.135933
299629,232646,97,82220,59219,90,-28,33,0,12602,9996,45,10444,8260,42,50,80,0,-631,0,0,0.135933
261389,171717,110,64944,46998,96,-6,70,0,9226,6199,47,8434,5859,46,70,123,0,-112,17,0,0.138162
200748,128517,103,174050,111387,101,25,56,0,9837,8028,43,9581,7713,42,3,41,0,261,1152,1,0.139276
272864,136299,103,262763,127833,114,28,48,0,12768,12856,45,11388,11873,42,84,77,0,6897,13474,25,0.141504
350083,227136,108,167598,109525,102,-74,27,0,32424,19888,93,29555,18562,86,153,77,0,2131,9909,15,0.142618
241016,200466,92,74189,57964,85,5,92,0,9808,8111,41,7822,6298,38,84,88,0,-986,0,0,0.142618
472045,272696,121,193130,121847,108,124,60,0,7386,5266,47,6772,4802,46,77,57,0,2072,6206,19,0.142618
517011,281838,121,322805,183595,116,134,116,0,80745,44418,124,72664,39958,124,309,240,0,13074,25849,28,0.143733
300669,192828,109,183270,111936,109,200,87,0,17880,11776,64,16598,10767,57,14,65,0,1914,5693,13,0.143733
170106,122873,97,93701,71514,91,29,52,0,382,473,0,265,422,0,18,110,0,63,1427,3,0.143733
215081,174858,97,95778,75375,89,-52,35,0,16053,14147,47,15000,13561,45,46,121,0,-257,0,0,0.143733
158748,125555,94,96972,75542,91,18,35,0,889,759,0,727,697,0,18,55,0,1,52,0,0.144847
258360,126333,117,314331,155181,112,96,105,0,12580,7002,57,12052,6913,55,172,114,0,3787,8341,21,0.147075
449464,251614,121,186812,106799,118,148,94,0,9317,4065,79,8771,4018,77,223,170,0,2288,3924,20,0.147075
414955,220079,126,309850,164112,119,110,88,0,11962,6234,70,10794,5518,69,196,104,0,2684,3553,24,0.149304
160994,102536,98,131309,85138,98,83,66,0,5472,3039,46,5316,3018,45,65,73,0,4734,7918,24,0.151532
401691,236374,114,246974,152104,111,6,46,0,48622,26304,116,44286,24309,116,307,231,0,15667,22628,31,0.152646
393863,240044,114,173341,111652,103,75,57,0,544,510,0,392,408,0,273,203,0,-48,108,0,0.154875
353862,239359,110,107271,72773,98,34,67,0,10380,6813,51,9630,6440,49,61,85,0,5000,6662,27,0.155989
435080,253315,118,216648,126691,110,7,74,0,23792,12835,76,21866,11762,73,31,69,0,6947,6735,34,0.157103
449587,268150,119,177932,122172,119,67,106,0,10922,5988,60,9965,5598,60,198,108,0,2271,2185,28,0.160446
407721,235886,113,204668,122229,108,55,60,0,46512,25494,116,41957,22344,116,325,231,0,21034,19603,42,0.160446
381152,241164,112,153874,105666,102,80,72,0,20870,12585,66,18662,11537,62,139,103,0,6749,7150,33,0.16156
317857,219070,105,102449,84562,92,47,69,0,13696,9609,56,12527,8933,55,298,175,0,16626,20902,33,0.16156
198810,164558,94,97586,73979,93,134,90,0,472,417,0,283,328,0,91,92,0,3342,7422,20,0.162674
409337,254179,114,175480,114136,114,-46,44,0,17581,10844,58,16553,9651,57,165,87,0,5747,13390,22,0.166017
258535,169681,100,368241,259290,103,166,121,0,4638,3589,33,4740,4016,34,86,58,0,16,91,0,0.167131
