"FSC-A","RL1-A","YL2-A"
456217,33849,19407
450970,4553,2802
494976,32895,11092
250555,20892,231
514349,37234,14621
624393,44558,11365
560903,37954,25839
578973,43067,30382
464600,46003,20152
525244,25897,11289
640566,80640,37366
587079,57589,14249
606061,42460,20901
542496,20832,5485
626478,79016,28407
433142,38600,16780
553684,17928,12539
457700,30180,14417
477767,16377,10343
584063,22356,16110
606887,40512,25834
398937,19198,14020
554446,36094,24089
521888,70448,21812
290308,5707,96
692238,52413,13262
495062,34765,22178
387149,41896,22428
498469,14285,5626
471091,297,448
527066,37723,11390
446943,715,1025
620474,96298,38826
469140,31871,14510
602692,41184,13116
547869,39958,16431
396714,18343,15375
494123,55933,25193
563151,45834,25861
328482,23842,56
523484,43876,11615
522938,46157,23538
432244,29254,19210
581991,30735,17423
446431,40109,19287
414476,47334,15122
521527,39797,18642
561541,20260,7440
539958,42318,14492
581257,31465,16597
580560,76537,40923
569026,42333,18942
482486,59696,31835
475143,22646,11837
475353,32828,16392
527040,41448,24681
576348,39102,14408
521837,12771,13755
633939,79762,19707
607035,199626,132842
438914,19536,8575
603976,46691,61278
478469,3011,1261
527248,18588,19753
695684,47146,33488
561529,39659,20281
759070,62130,26448
515911,19927,10627
521580,47632,18637
566685,45998,20766
421746,42185,23059
491091,15269,4001
513284,17167,7668
621020,77042,25101
462914,22049,10953
312434,19621,125
490770,64725,28314
608779,54953,16993
526656,78243,29535
455387,31531,28610
591080,41321,16113
531666,41729,19072
596054,55474,27310
560414,28030,20068
424349,29493,16895
512151,30502,17677
574742,70190,28494
419985,37565,17607
547274,35129,20107
619402,10732,4274
618719,32513,12583
386377,34694,15563
447776,28665,10593
647584,48987,13049
488956,35508,16942
492546,35071,11383
548251,1216,45
559522,1305,38
447152,18991,12533
372025,13931,10492
652235,24736,14580
433636,18703,6618
574231,52671,17914
448490,26045,12652
534669,39110,62658
522486,37758,40040
443408,8673,21711
564000,47917,19380
623594,17869,6650
546841,52621,42846
344894,34169,27473
517026,23698,20422
527028,26448,9563
560254,8382,3276
536326,2489,89
628929,41866,14109
597042,39455,13925
617375,47702,24126
493121,40284,14977
614284,26220,6027
491251,61331,21218
517432,40898,20213
578137,75350,21221
531754,33865,8760
249691,2152,1078
657224,78425,50426
582830,33850,18677
554168,45415,26812
677912,29116,18051
478483,34418,27196
483153,10231,3803
280868,19834,186
503201,1217,18
663768,20271,11938
466276,17537,9493
506934,36377,32694
480667,36373,22051
501043,25031,9722
400544,10075,20
480560,19222,15778
436379,27105,13485
535589,21307,9382
469407,13791,14310
399238,6313,2709
628318,37236,23598
440149,1758,253
732832,34581,23792
678743,51528,30317
611770,30144,11748
447879,35396,16937
488195,22406,15886
565642,22590,7090
541280,53654,26231
653044,45610,18583
612080,79713,33531
567599,13969,7787
565390,54594,24460
427466,27994,18384
588911,82782,31719
553108,20924,7175
442751,29145,13158
524535,37455,16499
839474,50947,22185
439608,18645,6736
516642,2954,130
683532,64008,24526
528297,50130,23913
594817,56102,36816
391907,20365,6976
541975,31677,10631
525818,37380,13227
632320,71016,13442
510480,43899,19045
386387,13188,6190
632089,30833,14252
541372,37610,16731
442956,46110,21985
435746,28066,20406
515815,16161,12926
533574,46381,19872
519172,34946,35409
542048,29401,15559
527648,32230,9055
340321,26455,15883
407552,17834,6821
493834,15824,6756
557941,83130,25196
605314,44317,16983
659144,34705,21666
492020,36389,19666
578698,30003,14966
539372,37061,14370
575813,36341,20788
485921,2173,668
518049,24094,14343
665961,96211,48970
579338,55590,40496
485755,16984,2624
393002,10998,26
551710,36963,23003
608852,80250,27880
435459,19800,9303
579032,48405,24850
483074,45600,29983
379689,12959,5312
606045,44576,29951
376671,6303,2597
515527,50322,29693
416534,15594,7498
569190,27887,11599
655176,25983,6624
591514,59496,37016
447594,12640,3414
668311,44247,19822
499012,51750,31275
479826,45902,23099
459211,15119,7600
478095,35292,16664
470985,24692,19121
561437,32603,11155
640785,25,75
712335,51522,19099
641371,71867,64581
529278,37703,14496
578736,22599,8769
548935,67496,25076
529000,24556,5998
627130,51972,19220
531723,61966,29783
537239,23218,10262
433987,19499,10525
474844,23278,11531
429006,33723,21513
554209,51326,18720
600079,3493,15265
511693,30186,18770
618551,25097,12519
498605,43100,14176
340130,9587,6372
596799,56612,25609
310614,19641,4832
499223,51047,23741
496400,3642,688
459235,656,5148
527398,71205,22369
611750,41374,11828
553242,37738,21567
506080,40566,23746
581269,39591,30073
433188,8827,5984
525677,42035,19709
576388,42765,19048
477444,31832,12082
641798,30757,8514
646031,38712,13636
562356,36764,59376
538991,41933,20616
629539,51770,22465
572231,20805,8599
485280,20243,8416
459826,14520,7859
533139,50410,31158
572354,46047,23547
605061,29612,15914
548851,44277,21337
562134,50137,19161
710292,66069,30728
560126,49533,21670
567760,1454,403
464717,23393,23245
507023,17602,5790
570313,39923,23202
495347,27969,10246
561407,42911,16949
527097,45059,14924
542231,91766,51459
395154,1040,390
364842,27140,15807
598144,91533,22601
365008,18637,12306
535900,73530,22103
771615,56916,32987
567813,25633,12136
527999,47997,21689
574344,28432,14574
449493,32352,9958
509369,49670,24796
565507,33890,14264
673010,110266,32242
640121,43183,16359
576197,32186,26669
502884,34053,18437
607742,23741,13386
522444,56127,14034
580090,44571,24540
615783,48414,10717
474333,15088,11669
496552,28524,19740
543347,8532,3666
721185,53798,18897
609152,54832,45871
554137,49179,32746
551601,26540,18954
571110,29461,9853
467937,344,225
578914,28518,17457
598547,49072,29490
